room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1533754,8179593,Entire home/apt,,South of Market,0,,2,1.0,269.0,1,37.780875,-122.392231,2013-12-07 22:35:55
1537673,5850342,Private room,,South of Market,4,4.5,2,,165.0,1,37.78095,-122.394327,2013-12-07 14:10:03
1542757,8222713,Private room,,Outer Mission,0,,2,3.0,110.0,1,37.731163,-122.440043,2013-12-07 03:14:39
1545457,7787009,Entire home/apt,,Financial District,0,,4,1.0,165.0,5,37.792031,-122.399294,2013-12-07 22:15:37
1546921,2140059,Private room,,Downtown/Civic Center,0,,2,1.0,122.0,2,37.789629,-122.407591,2013-12-06 21:05:17
1574408,8368574,Private room,,Financial District,0,,2,,143.0,1,37.793175,-122.403864,2013-12-07 04:16:19
1579097,6971576,Entire home/apt,,Chinatown,9,5.0,3,0.0,225.0,3,37.792114,-122.405748,2013-12-07 21:09:08
1584383,6789674,Entire home/apt,,South of Market,4,5.0,3,1.0,274.0,2,37.788898,-122.388706,2013-12-07 16:21:15
1595705,8508885,Entire home/apt,,South of Market,9,5.0,6,2.0,384.0,2,37.783862,-122.406812,2013-12-08 14:27:59
1614453,6346492,Entire home/apt,,Downtown/Civic Center,5,5.0,4,,185.0,3,37.789189,-122.410926,2013-12-07 21:00:56
1619995,7787045,Private room,,Outer Mission,1,5.0,2,1.0,165.0,2,37.732368,-122.450691,2013-12-07 16:46:49
1620039,6346492,Entire home/apt,,Downtown/Civic Center,5,5.0,4,,192.0,2,37.787492,-122.41103,2013-12-08 18:39:47
1629740,6346492,Entire home/apt,,Downtown/Civic Center,4,5.0,4,,186.0,1,37.788574,-122.41052,2013-12-07 04:00:33
1657308,6378919,Private room,,South of Market,2,4.5,2,,117.0,1,37.78874,-122.390641,2013-12-07 17:14:38
1684346,6346492,Entire home/apt,,Downtown/Civic Center,2,5.0,4,,196.0,1,37.787454,-122.410454,2013-12-07 14:04:47
1686784,5042039,Entire home/apt,,Chinatown,14,5.0,8,2.0,357.0,1,37.79639,-122.408923,2013-12-06 20:40:57
1709807,9021061,Shared room,,South of Market,0,,1,,147.0,1,37.786582,-122.391545,2013-12-07 21:20:28
1710783,9025029,Private room,,Financial District,0,,1,,156.0,1,37.790474,-122.394654,2013-12-08 14:10:43
1725815,1427612,Entire home/apt,,North Beach,7,5.0,5,2.0,384.0,2,37.799461,-122.399865,2013-12-08 16:29:51
1736699,235797,Entire home/apt,,South of Market,0,,4,1.0,247.0,5,37.787473,-122.390188,2013-12-08 15:11:54
1746872,9193625,Private room,,West of Twin Peaks,0,,2,,137.0,1,37.73448,-122.454136,2013-12-07 23:04:11
1747125,2750052,Entire home/apt,,Outer Mission,0,,2,0.0,93.0,1,37.731498,-122.446108,2013-12-08 00:59:03
1754127,7559480,Entire home/apt,,Downtown/Civic Center,0,,9,4.0,2747.0,1,37.78928,-122.408767,2013-12-06 22:29:03
1755759,4753579,Entire home/apt,,North Beach,4,5.0,2,0.0,148.0,2,37.800042,-122.406523,2013-12-07 16:57:19
1783140,7229288,Entire home/apt,,Financial District,5,5.0,1,,154.0,1,37.786937,-122.405717,2013-12-07 21:08:05
1785647,9371510,Entire home/apt,,South of Market,0,,6,3.0,961.0,4,37.785274,-122.391871,2013-12-07 03:44:49
1801684,9445366,Private room,,West of Twin Peaks,0,,2,,99.0,1,37.743879,-122.453106,2013-12-08 00:50:02
